      price  quantity  type
3  38598000    0.0401     0
4  38595000    0.0386     0
0  38619000    0.0053     1
1  38622000    0.0937     1
2  38625000    0.0154     1
3  38626000    0.0892     1
4  38628000    0.0566     1


      price  quantity  type
0  38605000    0.0410     0
1  38603000    0.0833     0
2  38601000    0.5642     0
3  38596000    1.2360     0
4  38585000    0.0052     0
0  38625000    0.0081     1
1  38626000    0.0892     1
2  38628000    0.0566     1
3  38629000    0.1412     1
4  38631000    0.0078     1


      price  quantity  type
0  38611000    0.0156     0
1  38609000    0.0582     0
2  38607000    0.0092     0
3  38605000    0.0490     0
4  38604000    1.2360     0
0  38624000    0.5167     1
1  38628000    0.0057     1
2  38630000    0.0859     1
3  38634000    0.0150     1
4  38635000    0.0566     1


      price  quantity  type
0  38613000    0.0088     0
1  38611000    0.0156     0
2  38609000    0.0582     0
3  38608000    0.0405     0
4  38607000    0.0092     0
0  38624000    0.5167     1
1  38628000    0.0057     1
2  38630000    0.0859     1
3  38634000    0.0150     1
4  38635000    0.0566     1


      price  quantity  type
0  38613000    0.0088     0
1  38611000    0.0156     0
2  38609000    0.0582     0
3  38608000    0.0405     0
4  38607000    0.0092     0
0  38624000    0.5167     1
1  38628000    0.0057     1
2  38630000    0.0859     1
3  38634000    0.0150     1
4  38635000    0.0566     1


      price  quantity  type
0  38615000    0.0400     0
1  38613000    0.0088     0
2  38611000    0.0156     0
3  38609000    0.0582     0
4  38607000    0.0092     0
0  38624000    0.4563     1
1  38628000    0.0057     1
2  38633000    0.0839     1
3  38634000    0.0150     1
4  38638000    0.0791     1


      price  quantity  type
0  38617000    0.0155     0
1  38615000    0.0400     0
2  38613000    0.0088     0
3  38611000    1.2516     0
4  38609000    0.0582     0
0  38624000    0.0426     1
1  38633000    0.0839     1
2  38634000    0.0150     1
3  38638000    0.0635     1
4  38641000    0.0085     1


      price  quantity  type
0  38617000    0.0155     0
1  38615000    0.0400     0
2  38613000    0.0088     0
3  38611000    1.2516     0
4  38609000    0.0582     0
0  38633000    0.0565     1
1  38634000    0.0150     1
2  38638000    0.0635     1
3  38641000    0.0085     1
4  38642000    0.0155     1


      price  quantity  type
0  38618000    0.0575     0
1  38616000    0.0876     0
